name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
GazeTV,GAZE,0 GAZE,--,9.09%,25.21%,$0.00 ,"$64,205 27,252,862 GAZE"
The Famous Token,TFT,--,--,11.46%,39.17%,$10.19 ,"$64,704 6,349 TFT"
xxxNifty,NSFW,0 NSFW,--,11.51%,56.99%,$0.00 ,"$63,727 1,021,362,124 NSFW"
Feyorra,FEY,0 FEY,--,6.81%,10.48%,$0.00 ,"$64,143 26,326,365 FEY"
DoDreamChain,DRM,0 DRM,--,8.85%,28.71%,$0.02 ,"$63,833 2,923,100 DRM"
StopElon,STOPELON,0 STOPELON,--,10.21%,27.60%,$0.00 ,"$63,452 3,283,826,416 STOPELON"
Siren,SI,0 SI,--,10.24%,34.76%,$0.64 ,"$62,858 98,359 SI"
Mogu,MOGX,--,--,29.04%,4.76%,$0.01 ,"$63,206 6,633,451 MOGX"
Munch Token,MUNCH,0 MUNCH,--,4.29%,58.43%,$0.00 ,"$62,175 888,490,688,649 MUNCH"
DragonBite,$BITE,0 $BITE,--,5.79%,0.00%,$0.02 ,"$61,228 2,507,042 $BITE"
B21 Invest,B21,0 B21,--,7.04%,13.61%,$0.12 ,"$62,601 528,341 B21"
Sting Defi,SDFI,0 SDFI,--,14.36%,25.59%,$1.59 ,"$62,547 39,428 SDFI"
Dexfin,DXF,0 DXF,--,11.57%,18.42%,$0.01 ,"$61,952 6,283,710 DXF"
KONJUNGATE,KONJ,--,--,6.77%,12.83%,$0.00 ,"$62,040 51,276,625 KONJ"
MGC Token,MGC,--,--,40.14%,65.17%,$0.00 ,"$62,060 23,783,161 MGC"
Slam Token,SLAM,--,--,13.30%,0.00%,$0.00 ,"$61,349 3,865,137,189 SLAM"
Cryptex Finance,CTX,0 CTX,--,3.89%,33.94%,$2.92 ,"$61,139 20,905 CTX"
Dogira,DOGIRA,0 DOGIRA,--,16.05%,29.38%,$0.06 ,"$60,903 986,740 DOGIRA"
NFT STARS,NFTS,0 NFTS,--,13.90%,34.05%,$1.55 ,"$60,970 39,342 NFTS"
Experty Wisdom Token,WIS,--,--,13.64%,30.92%,$0.03 ,"$65,843 2,412,111 WIS"
DUO Network Token,DUO,--,--,30.32%,24.47%,$0.00 ,"$61,091 47,511,765 DUO"
SaferMoon,SAFERMOON,0 SAFERMOON,--,21.83%,46.07%,<$0.00000001,"$60,464 7,083,350,177,196 SAFERMOON"
JBOX,JBX,0 JBX,--,3.49%,8.98%,$0.00 ,"$60,447 23,528,294 JBX"
Buzzshow,GLDY,0 GLDY,--,19.80%,17.74%,$0.05 ,"$60,477 1,251,340 GLDY"
Chihua Token,CHIHUA,0 CHIHUA,--,15.95%,60.15%,<$0.00000001,"$60,047 20,177,217,385,105 CHIHUA"
Kesef Finance,KSF,0 KSF,--,0.83%,19.87%,$0.80 ,"$60,348 75,773 KSF"
StarLink,SLNV2,0 SLNV2,--,5.76%,8.41%,$0.00 ,"$60,174 18,811,153 SLNV2"
IOEX,IOEX,--,--,49.31%,17.83%,$0.02 ,"$59,713 2,815,002 IOEX"
Xrpalike Gene,XAG,0 XAG,--,0.45%,17.13%,$0.02 ,"$59,847 2,859,337 XAG"
Blockchain Exchange Alliance,BXA,0 BXA,--,2.49%,24.54%,$0.00 ,"$59,721 58,143,494 BXA"
ClassZZ,CZZ,0 CZZ,--,2.53%,8.26%,$0.08 ,"$59,557 713,147 CZZ"
Bistroo,BIST,0 BIST,--,5.96%,31.92%,$0.11 ,"$58,935 517,783 BIST"
SafeHamsters,SAFEHAMSTERS,0 SAFEHAMSTERS,--,18.13%,44.81%,$0.00 ,"$59,137 31,594,099,565 SAFEHAMSTERS"
GoMining token,GMT,0 GMT,--,2.79%,11.75%,$0.20 ,"$58,334 285,114 GMT"
Scifi Finance,SPICE,--,--,14.89%,26.95%,$0.30 ,"$58,643 195,418 SPICE"
GARD Governance Token,GGT,0 GGT,--,0.05%,30.46%,$0.00 ,"$58,582 657,777,610 GGT"
My Crypto Heroes,MCHC,--,--,13.32%,42.72%,$0.20 ,"$57,837 291,940 MCHC"
LinkToken,LTK,--,--,2.17%,9.35%,$0.02 ,"$56,261 3,055,611 LTK"
Engine,EGCC,--,--,4.32%,11.84%,$0.00 ,"$57,201 624,865,418 EGCC"
SafeBTC,SAFEBTC,0 SAFEBTC,--,12.39%,44.56%,<$0.00000001,"$57,399 9,083,509,814,918 SAFEBTC"
MediconnectUk,MEDI,0 MEDI,--,2.25%,10.76%,$0.00 ,"$57,005 31,265,978 MEDI"
Hintchain,HINT,--,--,0.69%,39.67%,$0.00 ,"$56,861 28,201,128 HINT"
Saturna,SAT,0 SAT,--,0.16%,4.26%,<$0.00000001,"$57,042 8,172,760,693,209 SAT"
MIMOSA,MIMO,0 MIMO,--,4.83%,28.19%,$0.22 ,"$56,353 257,145 MIMO"
LittleMouse,LTMS,0 LTMS,--,--,0.00%,$0 ,"$56,299 -"
Advanced Micro Devices tokenized stock FTX,AMD,--,--,2.51%,1.30%,$82.64 ,"$56,196 amd680"
PocMon,PMON,0 PMON,--,0.75%,25.81%,$0.00 ,"$55,975 2,689,692,458,804 PMON"
DefiCliq,CLIQ,--,--,11.50%,29.86%,$0.02 ,"$56,218 2,723,985 CLIQ"
BNS Token,BNS,--,--,0.58%,9.95%,$0.07 ,"$56,544 776,834 BNS"
Aerdrop,AER,0 AER,--,27.86%,25.95%,$0.00 ,"$55,695 12,726,823,204 AER"
Dextoken,DEXG,0 DEXG,--,28.77%,8.56%,$12.06 ,"$55,824 4,628 DEXG"
Sensitrust,SETS,0 SETS,--,13.40%,28.69%,$0.07 ,"$57,180 820,221 SETS"
Epanus,EPS,0 EPS,--,8.10%,32.15%,$0.28 ,"$55,500 198,902 EPS"
Pledge Coin,PLG,--,--,13.24%,24.03%,$0.00 ,"$55,424 70,115,697 PLG"
POP Network Token,POP,--,--,1.99%,17.22%,$0.00 ,"$54,775 14,102,476 POP"
Mindsync,MAI,0 MAI,--,7.23%,0.00%,$0.03 ,"$55,146 1,968,160 MAI"
DekBox,DEK,0 DEK,--,15.44%,63.74%,$0.03 ,"$53,835 1,630,413 DEK"
Decentralized Nations,DENA,0 DENA,--,9.87%,22.55%,$7.75 ,"$56,223 7,251 DENA"
WHITEX,WHX,0 WHX,--,1.70%,33.76%,$0.00 ,"$53,943 17,424,315 WHX"
Markaccy,MKCY,--,--,7.75%,20.00%,$0.00 ,"$53,972 44,949,691 MKCY"
Unobtanium,UNO,--,--,0.61%,28.94%,$33.24 ,"$53,973 1,624 UNO"
DiarrheaCoin,DIAH,0 DIAH,--,8.19%,0.00%,$0.02 ,"$53,376 2,573,717 DIAH"
FOMO LAB,FOMO,0 FOMO,--,16.82%,37.35%,$0.09 ,"$53,345 619,765 FOMO"
Hugo Finance,HUGO,0 HUGO,--,19.65%,56.09%,$0.00 ,"$52,862 54,125,709 HUGO"
Tweebaa,TWEE,0 TWEE,--,1.86%,6.94%,$2.96 ,"$52,089 17,617 TWEE"
Gstcoin,GST,0 GST,--,3.74%,11.93%,$0.20 ,"$51,971 261,255 GST"
Social Rocket,ROCKS,--,--,20.58%,42.02%,$0.32 ,"$51,091 160,547 ROCKS"
Krypton Galaxy Coin,KGC,--,--,20.33%,44.48%,$0.00 ,"$50,712 304,185,959 KGC"
GreenTrust,GNT,--,--,7.12%,40.00%,$0.00 ,"$50,763 4,368,802,304 GNT"
DINGO TOKEN,DINGO,0 DINGO,--,26.07%,75.84%,<$0.00000001,"$50,550 27,572,702,582,698 DINGO"
Hive Dollar,HBD,--,--,0.93%,2.81%,$0.92 ,"$50,469 54,682 HBD"
PEACOCKCOIN,PEKC,0 PEKC,--,95689.01%,16.04%,<$0.00000001,"$50,375 751,304,784,878,151 PEKC"
Alibaba tokenized stock Bittrex,BABA,--,--,1.88%,2.30%,$210.96 ,"$50,432 239 BABA"
Netvrk,NTVRK,0 NTVRK,--,11.26%,57.67%,$0.18 ,"$48,764 278,023 NTVRK"
Luxurious Pro Network Token,LPNT,0 LPNT,--,0.67%,3.19%,$3.44 ,"$50,228 14,598 LPNT"
Samoyedcoin,SAMO,--,--,7.42%,30.14%,$0.00 ,"$50,743 23,806,518 SAMO"
BitUP Token,BUT,--,--,7.66%,12.79%,$0.00 ,"$49,076 22,191,422 BUT"
One Get Coin,OGC,0 OGC,--,7.62%,27.64%,$1.04 ,"$50,078 48,113 OGC"
MoonStar,MOONSTAR,--,--,13.52%,40.35%,<$0.00000001,"$50,243 14,470,635,034,302 MOONSTAR"
WallStreetBets DApp,WSB,0 WSB,--,9.56%,31.05%,$0.04 ,"$49,906 1,377,838 WSB"
Shibaken Finance,SHIBAKEN,0 SHIBAKEN,--,53.40%,63.82%,<$0.00000001,"$49,626 2,618,799,359,660,159 SHIBAKEN"
NCAT Token,NCAT,--,--,26.90%,39.48%,<$0.00000001,"$49,517 22,693,886,801,843 NCAT"
MobiFi,MoFi,0 MoFi,--,20.12%,19.56%,$0.02 ,"$48,379 2,628,922 MOFI"
BitUP Token,BUT,--,--,6.85%,12.57%,$0.00 ,"$49,072 22,191,405 BUT"
PathFund,PATH,0 PATH,--,8.65%,46.99%,<$0.00000001,"$48,877 7,775,806,227,620 PATH"
Quantfury Token,QTF,0 QTF,--,3.06%,19.85%,$5.23 ,"$48,824 9,339 QTF"
Netvrk,NTVRK,0 NTVRK,--,11.18%,57.66%,$0.18 ,"$48,717 277,850 NTVRK"
CoinWind,COW,0 COW,--,6.10%,9.41%,$1.89 ,"$48,682 25,812 COW"
CosmicSwap,COSMIC,0 COSMIC,--,24.82%,0.00%,$2.48 ,"$48,611 19,603 COSMIC"
ORO,ORO,--,--,11.03%,30.47%,$0.07 ,"$48,383 677,875 ORO"
Golden Duck,GOLDUCK,0 GOLDUCK,--,4.74%,40.62%,$0.00 ,"$48,044 2,527,195,925,995 GOLDUCK"
BabySwap,BABY,0 BABY,--,22.71%,42.03%,$0.10 ,"$47,996 474,690 BABY"
DACC,DACC,--,--,15.53%,28.00%,$0.00 ,"$41,969 688,879,768 DACC"
Pepedex,PPDEX,0 PPDEX,--,19.33%,32.19%,$1.22 ,"$47,568 39,059 PPDEX"
MoonJuice,MOJO,0 MOJO,--,26.54%,67.79%,<$0.00000001,"$47,166 1,415,979,426,947,463 MOJO"
3X Short TRX Token,TRXBEAR,--,--,34.08%,96.44%,$0.00 ,"$47,053 5,225,341,754 TRXBEAR"
Crypto Price Index,CPI,0 CPI,--,0.73%,33.32%,$0.23 ,"$46,926 202,376 CPI"
Decentralized Mining Exchange,DMC,0 DMC,--,3.73%,19.91%,$0.07 ,"$46,876 697,444 DMC"
CPUcoin,CPU,0 CPU,--,6.31%,23.73%,$0.05 ,"$46,805 1,039,531 CPU"
Bone,BONE,0 BONE,--,4.89%,1.40%,$0.18 ,"$46,702 255,060 BONE"
Eject,EJECT,0 EJECT,--,17.91%,0.00%,<$0.00000001,"$46,075 2,989,971,791,674,886 EJECT"
Polar,POLARV3,0 POLARV3,--,20.46%,46.21%,$0.03 ,"$45,946 1,617,023 POLARV3"
VinDax Coin,VD,--,--,7.27%,30.58%,$0.02 ,"$46,809 3,066,056 VD"
Bafe io,BAFE,--,--,21.06%,45.79%,<$0.00000001,"$45,711 11,946,581,567,230 BAFE"
LOCGame,LOCG,0 LOCG,--,10.90%,30.42%,$0.06 ,"$45,459 794,123 LOCG"
MILC Platform,MLT,0 MLT,--,12.39%,44.35%,$0.05 ,"$45,213 952,462 MLT"
Farmland Protocol,FAR,0 FAR,--,19.36%,25.52%,$0.07 ,"$45,013 678,957 FAR"
XVIX,XVIX,--,--,17.52%,0.91%,$19.21 ,"$44,325 2,307 XVIX"
Life Token,LTN,0 LTN,--,23.97%,26.57%,$0.00 ,"$44,177 151,489,840,850 LTN"
Lottonation,LNT,0 LNT,--,0.80%,0.64%,$0.08 ,"$44,036 561,306 LNT"
Meliora,MORA,0 MORA,--,2.35%,35.67%,$0.17 ,"$43,969 262,920 MORA"
SpaceGrime,GRIMEX,0 GRIMEX,--,10.58%,38.79%,<$0.00000001,"$43,832 175,561,110,253,455 GRIMEX"
3x Short Bitcoin SV Token,BSVBEAR,--,--,38.70%,139.65%,$0.00 ,"$43,821 168,676,798 BSVBEAR"
Previse,PRVS,0 PRVS,--,11.76%,23.01%,$0.09 ,"$49,469 521,646 PRVS"
4ART Coin,4ART,0 4ART,--,12.03%,13.12%,$0.09 ,"$43,438 463,125 4ART"
Eggplant Finance,EGGP,0 EGGP,--,14.57%,45.87%,$0.29 ,"$43,397 152,224 EGGP"
Asia Reserve Currency Coin,ARCC,0 ARCC,--,0.29%,0.20%,$0.08 ,"$42,897 509,119 ARCC"
TCGcoin,TCGCOIN,0 TCGCOIN,--,15.26%,0.00%,<$0.00000001,"$42,857 21,647,681,810,684 TCGCOIN"
PhoenxiDefi Finance,PNIXS,0 PNIXS,--,13.07%,39.06%,$0.10 ,"$42,743 448,880 PNIXS"
3x Short Litecoin Token,LTCBEAR,--,--,14.01%,113.00%,$0.02 ,"$42,741 2,012,488 LTCBEAR"
Chickenkebab Finance,CHIK,0 CHIK,--,3.64%,10.99%,$0.01 ,"$42,898 4,241,004 CHIK"
Alaskan Malamute Token,LASM,0 LASM,--,22.52%,0.00%,$14.05 ,"$42,622 3,033 LASM"
Animal Adoption Advocacy,PAWS,0 PAWS,--,24.83%,59.45%,<$0.00000001,"$42,658 8,311,851,583,492 PAWS"
Pippi Finance,PIPI,--,--,16.85%,21.87%,$0.10 ,"$42,496 438,742 PIPI"
LabraCoin,LABRA,0 LABRA,--,22.74%,51.41%,<$0.00000001,"$42,655 8,617,003,636,194 LABRA"
EduCoin,EDU,--,--,5.61%,31.10%,$0.00 ,"$42,328 371,966,211 EDU"
TradeStars,TSX,--,--,16.18%,47.89%,$0.08 ,"$42,274 498,288 TSX"
Charged Particles,IONX,0 IONX,--,17.87%,0.00%,$0.51 ,"$42,263 82,559 IONX"
XFai,XFIT,--,--,2.19%,13.18%,$0.05 ,"$42,256 870,720 XFIT"
Akoin,AKN,--,--,8.03%,20.16%,$0.24 ,"$42,159 176,534 AKN"
Counterparty,XCP,--,--,1.51%,24.85%,$1.57 ,"$42,839 27,288 XCP"
GYSR,GYSR,0 GYSR,--,16.72%,38.42%,$0.23 ,"$41,931 181,167 GYSR"
Hey Bitcoin,HYBN,0 HYBN,--,8.01%,15.41%,$0.04 ,"$42,336 1,048,780 HYBN"
Combo,COMB,0 COMB,--,26.14%,47.05%,$0.00 ,"$39,145 30,025,509 COMB"
APWars,WGOLD,0 WGOLD,--,11.44%,39.43%,$0.00 ,"$41,431 10,686,543 WGOLD"
Ballswap,BSP,0 BSP,--,52.55%,64.36%,$0.01 ,"$40,919 3,520,647 BSP"
HotDoge,HOTDOGE,0 HOTDOGE,--,16.04%,33.63%,<$0.00000001,"$41,170 3,257,085,566,116,298 HOTDOGE"
YFIX Finance,YFIX,--,--,3.13%,5.49%,$1.89 ,"$40,899 21,625 YFIX"
Community Business Token,CBT,0 CBT,--,0.07%,3.16%,$0.00 ,"$40,240 6,794,558,172 CBT"
United Bitcoin,UBTC,0 UBTC,--,5.99%,25.24%,$0.96 ,"$40,828 42,505 UBTC"
KleeKai,KLEE,0 KLEE,--,6.87%,27.68%,<$0.00000001,"$40,659 2,146,730,092,880,148 KLEE"
Bincentive,BCNT,--,--,17.73%,32.12%,$0.03 ,"$40,165 1,393,236 BCNT"
Hyper Pay,HPY,--,--,9.64%,25.42%,$0.00 ,"$40,191 69,024,205 HPY"
DeChart,DCH,0 DCH,--,19.01%,55.50%,$0.01 ,"$40,261 6,097,178 DCH"
SafeMoon Inu,SMI,0 SMI,--,22.92%,42.33%,$0.00 ,"$40,100 33,904,441,625 SMI"
Portal,PORTAL,--,--,12.12%,30.45%,$0.00 ,"$40,016 40,461,710 PORTAL"
DEXTF Protocol,DEXTF,0 DEXTF,--,13.38%,37.75%,$0.22 ,"$40,002 179,914 DEXTF"
Ndau,NDAU,0 NDAU,--,3.67%,9.88%,$31.98 ,"$39,930 1,248 NDAU"
Pocket Bomb,PBOM,0 PBOM,--,25.06%,44.70%,$0.01 ,"$39,894 2,979,295 PBOM"
ARCx (old),ARC,--,--,11.86%,26.90%,"$5,282.42 ","$39,865 8 ARC"
BlackDragon,BDT,0 BDT,--,8.73%,11.70%,$15.28 ,"$39,795 bdt2,605"
Joys Digital,JOYS,--,--,0.56%,7.14%,$0.01 ,"$39,740 4,733,847 JOYS"
GIVLY Coin,GIV,0 GIV,--,16.07%,30.65%,$0.01 ,"$39,581 6,927,447 GIV"
3X Long Algorand Token,ALGOBULL,--,--,35.86%,68.39%,$0.00 ,"$39,322 4,775,639,288 ALGOBULL"
Electra Protocol,XEP,0 XEP,--,6.98%,17.98%,$0.00 ,"$39,345 35,751,722 XEP"
Infinity Economics,XIN,--,--,1.45%,11.95%,$0.00 ,"$39,279 16,025,230 XIN"
Mofi Finance,MOFI,0 MOFI,--,0.53%,51.43%,$0.02 ,"$39,041 1,789,956 MOFI"
Tardigrades Finance,TRDG,--,--,38.53%,54.29%,<$0.00000001,"$40,005 539,514,750,664,059 TRDG"
Bitcoin and Ethereum Standard Token,BEST,0 BEST,--,5.72%,48.31%,$2.31 ,"$38,807 16,806 BEST"
CryptoCart,CC,0 CC,--,12.55%,12.35%,$6.11 ,"$38,742 6,346 CC"
Nyantereum International,NYANTE,0 NYANTE,--,2.95%,19.19%,$0.00 ,"$38,801 73,431,635,101 NYANTE"
Poodl Token,POODL,--,--,13.33%,41.94%,$0.00 ,"$38,386 1,414,844,618,826 POODL"
CheeseSwap,CHS,0 CHS,--,18.48%,32.90%,$0.09 ,"$38,467 432,408 CHS"
PizzaSwap,PIZZA,0 PIZZA,--,21.92%,40.86%,$0.39 ,"$38,592 98,823 PIZZA"
Yfi.mobi,YFIM,--,--,8.76%,32.77%,$14.60 ,"$38,407 2,631 YFIM"
Digible,DIGI,0 DIGI,--,17.38%,43.27%,$0.02 ,"$38,242 1,929,117 DIGI"
Cherry Token,YT,0 YT,--,0.92%,1.74%,$0.82 ,"$38,288 46,632 YT"
HollaEx Token,XHT,0 XHT,--,10.45%,5.09%,$0.22 ,"$38,130 174,587 XHT"
WingShop,WING,--,--,3.99%,42.90%,$0.00 ,"$37,974 11,542,376 WING"
Dark Matter,DMT,0 DMT,--,24.37%,55.44%,$33.28 ,"$37,907 1,139 DMT"
Medican Coin,MCAN,0 MCAN,--,6.47%,1.09%,$0.07 ,"$37,906 564,906 MCAN"
FINANCIAL INVESTMENT TOKEN,FIT,0 FIT,--,11.23%,30.87%,$4.90 ,"$37,814 7,716 FIT"
TOZEX,TOZ,0 TOZ,--,6.93%,35.67%,$0.24 ,"$37,928 155,103 TOZ"
Libfx,LIBFX,0 LIBFX,--,0.86%,20.11%,$0.03 ,"$37,725 1,437,258 LIBFX"
3x Long Tezos Token,XTZBULL,--,--,37.59%,66.32%,$0.12 ,"$37,637 303,437 XTZBULL"
Serum Ecosystem Token,SECO,0 SECO,--,14.65%,32.91%,$5.09 ,"$37,606 7,382 SECO"
Cream ETH 2,CRETH2,--,--,6.75%,27.86%,"$1,631.59 ","$37,531 23 CRETH2"
4-Stock,4STC,0 4STC,--,20.61%,0.00%,$0.00 ,"$37,493 14,568,569 4STC"
Gastrocoin,GTC,0 GTC,--,--,0.00%,$0.02 ,"$37,143 1,496,861 GTC"
Greenheart CBD,CBD,0 CBD,--,15.93%,42.56%,$0.02 ,"$37,067 2,456,587 CBD"
Kiwi Finance,KIWI,0 KIWI,--,23.69%,13.85%,$0.41 ,"$37,132 90,271 KIWI"
DSYS,DSYS,0 DSYS,--,13.90%,15.39%,$0.00 ,"$36,804 60,300,951 DSYS"
GlobalGive,GGIVE,0 GGIVE,--,33.23%,0.00%,$0.00 ,"$36,538 22,324,261 GGIVE"
Moms I'd Like to Fund,MILF,0 MILF,--,53.60%,72.85%,$0.00 ,"$36,345 301,845,839 MILF"
Promise,PROMISE,0 PROMISE,--,10.28%,0.00%,$0.00 ,"$36,212 949,057,101,978 PROMISE"
NNB Token,NNB,--,--,20.42%,33.66%,$0.00 ,"$35,889 54,152,560 NNB"
PeepoCoin,$PEEPO,0 $PEEPO,--,85.94%,96.90%,$0.00 ,"$35,718 1,299,455,977,134 $PEEPO"
Grace Period Token,GPT,0 GPT,--,1.50%,7.59%,"$1,237.47 ","$35,574 29 GPT"
BuckSwap,BUCKS,0 BUCKS,--,18.35%,52.45%,$0.03 ,"$35,546 1,220,844 BUCKS"
Pinknode,PNODE,--,--,7.42%,44.73%,$0.05 ,"$35,144 683,088 PNODE"
YFOX FINANCE,YFOX,0 YFOX,--,2.10%,2.42%,$9.62 ,"$34,845 3,624 YFOX"
PlayAndLike,PAL,0 PAL,--,41.66%,33.13%,$0.00 ,"$34,523 6,422,707,313 PAL"
Super Bitcoin,SBTC,0 SBTC,--,31.47%,44.34%,$0.52 ,"$34,883 67,533 SBTC"
ORBYT Token,ORBYT,0 ORBYT,--,0.38%,17.37%,$0.00 ,"$34,986 74,119,693 ORBYT"
Planet Finance,AQUA,0 AQUA,--,18.92%,38.42%,$142.68 ,"$34,750 244 AQUA"
Farm Space,SPACE,--,--,11.14%,29.69%,$0.02 ,"$34,697 2,219,026 SPACE"
Yearn Loans Finance,YLFI,0 YLFI,--,5.97%,12.39%,$9.41 ,"$34,688 3,688 YLFI"
Chibi Inu,CHIBI,0 CHIBI,--,14.25%,29.90%,<$0.00000001,"$34,649 21,644,011,123,227 CHIBI"
Freecash,FCH,--,--,7.50%,12.81%,$0.03 ,"$34,651 1,021,827 FCH"
Mercor Finance,MRCR,0 MRCR,--,9.75%,24.46%,$0.07 ,"$34,426 500,848 MRCR"
tBTC,TBTC,--,--,5.60%,19.79%,"$32,583.01 ","$34,239 1 TBTC"
TheFutbolCoin,TFC,0 TFC,--,3.23%,24.61%,$0.30 ,"$34,120 113,158 TFC"
Gains Farm,GFARM2,0 GFARM2,--,5.33%,30.20%,$60.41 ,"$34,070 564 GFARM2"
DFOhub,BUIDL,--,--,10.93%,40.64%,$3.09 ,"$34,064 11,027 BUIDL"
Jinbi Token,JNB,--,--,0.61%,49.63%,$126.07 ,"$33,988 270 JNB"
TEAL,TEAT,--,--,10.85%,27.20%,$0.05 ,"$33,828 628,328 TEAT"
Vancat,VANCAT,--,--,9.08%,45.51%,<$0.00000001,"$33,723 3,704,808,214,828 VANCAT"
Dragonbit,DRGB,0 DRGB,--,11.27%,52.38%,$0.00 ,"$33,759 228,553,728 DRGB"
Unicap.finance,UCAP,0 UCAP,--,2.01%,10.53%,$0.35 ,"$33,555 96,324 UCAP"
SafeMoon.swap,SFMS,0 SFMS,--,22.78%,45.04%,<$0.00000001,"$33,590 14,826,758,997,714 SFMS"
Alphawolf Finance,AWF,0 AWF,--,6.22%,64.35%,$0.00 ,"$33,476 2,019,246,187,188 AWF"
UNIFI DeFi,UNIFI,--,--,17.69%,41.66%,$0.00 ,"$33,206 11,851,280 UNIFI"
Culture Ticket Chain,CTC,--,--,0.06%,0.00%,$0.00 ,"$32,957 13,382,365 CTC"
SteakBankFinance,SBF,0 SBF,--,1.15%,14.31%,$0.00 ,"$33,032 7,251,695 SBF"
UNCL,UNCL,--,--,16.25%,36.37%,$26.01 ,"$32,902 1,265 UNCL"
DOOS TOKEN,DOOS,0 DOOS,--,5.39%,22.44%,$0.05 ,"$32,710 683,588 DOOS"
CryptoBlades,SKILL,0 SKILL,--,17.61%,26.29%,$1.46 ,"$32,634 22,330 SKILL"
3X Long Ethereum Classic Token,ETCBULL,--,--,44.92%,77.14%,$9.43 ,"$32,628 3,459 ETCBULL"
MoMo KEY,KEY,0 KEY,--,15.74%,25.06%,$22.30 ,"$32,557 1,460 KEY"
CroxSwap,CROX,0 CROX,--,9.90%,9.07%,$0.25 ,"$32,555 132,407 CROX"
Cryption Network,CNT,0 CNT,--,9.71%,9.59%,$0.23 ,"$32,548 139,159 CNT"
HashPanda,PANDA,0 PANDA,--,17.71%,47.60%,$0.00 ,"$32,394 1,821,408,024,926 PANDA"
EQO,EQO,0 EQO,--,0.04%,10.15%,$1.24 ,"$32,334 26,078 EQO"
IDall,IDALL,0 IDALL,--,3.56%,65.19%,$0.00 ,"$32,284 16,890,545 IDALL"
Hoodrat Finance,HOODRAT,0 HOODRAT,--,16.54%,9.74%,$0.00 ,"$32,204 13,014,786 HOODRAT"
REDi,REDI,0 REDI,--,10.95%,35.19%,$0.00 ,"$32,201 18,313,486 REDI"
MM Token,MM,--,--,7.77%,23.65%,$2.85 ,"$32,077 11,241 MM"
Morpher,MPH,0 MPH,--,2.07%,21.36%,$0.02 ,"$31,963 1,350,934 MPH"
APPLEB,APPLEB,0 APPLEB,--,8.48%,0.00%,<$0.00000001,"$31,983 25,287,936,926,317 APPLEB"
Vanity,VANITY,0 VANITY,--,14.34%,25.95%,$0.00 ,"$31,970 524,938,195 VANITY"
Auric Network,AUSCM,--,--,12.17%,17.96%,$0.04 ,"$31,783 839,849 AUSCM"
Coinbase tokenized stock FTX,COIN,--,--,0.59%,7.13%,$221.95 ,"$31,659 143 COIN"
HummingBird Finance,HMNG,0 HMNG,--,20.88%,54.65%,<$0.00000001,"$31,518 409,802,708,440,905 HMNG"
Vira-lata Finance,REAU,0 REAU,--,19.72%,45.83%,<$0.00000001,"$31,363 4,312,904,366,025 REAU"
Orion,ORION,0 ORION,--,12.96%,50.83%,<$0.00000001,"$31,337 8,091,312,762,035 ORION"
Rocket Vault,RVF,0 RVF,--,6.02%,29.36%,$0.04 ,"$31,334 744,077 RVF"
Pastel,PSL,0 PSL,--,28.92%,33.71%,$0.00 ,"$31,374 9,319,212 PSL"
BasketCoin,BSKT,0 BSKT,--,16.80%,40.53%,$0.22 ,"$31,099 138,707 BSKT"
Saint Token,SAINT,0 SAINT,--,--,0.00%,<$0.00000001,"$31,065 32,988,404,824,783 SAINT"
NanTrade,NAN,--,--,3.80%,21.50%,$0.12 ,"$30,975 249,268 NAN"
Baby Shiba,BHIBA,--,--,8.32%,15.34%,$0.00 ,"$30,622 11,939,099,408 BHIBA"
Evai.io,EVAI,0 EVAI,--,9.65%,29.45%,$0.36 ,"$30,606 84,662 EVAI"
PayYoda,YOT,0 YOT,--,0.08%,0.58%,$0.07 ,"$30,408 443,017 YOT"
SaveTheWorld,SAVE,0 SAVE,--,24.02%,53.11%,<$0.00000001,"$30,346 11,809,840,753,316 SAVE"
Moonarch.app,MOONARCH,0 MOONARCH,--,18.76%,50.79%,$0.01 ,"$30,296 2,640,109 MOONARCH"
Corgidoge real estate payment,CORGI,0 CORGI,--,12.83%,31.72%,$0.00 ,"$30,289 72,236,825,179 CORGI"
Block Duelers NFT Battles,BDT,0 BDT,--,8.69%,29.16%,$16.74 ,"$30,182 bdt1,803"
Liquidity Dividends Protocol,LID,0 LID,--,7.55%,17.43%,$0.09 ,"$30,150 336,233 LID"
Swirl Cash,SWIRL,--,--,22.89%,41.09%,$0.36 ,"$30,146 83,034 SWIRL"
Husky,HUSKY,0 HUSKY,--,12.29%,34.57%,<$0.00000001,"$29,859 6,436,105,252,636 HUSKY"
Ethermon,EMON,0 EMON,--,10.51%,35.29%,$0.05 ,"$29,855 588,528 EMON"
1irstGold,1GOLD,--,--,4.79%,11.51%,$56.57 ,"$29,823 527 1GOLD"
Fire Protocol,FIRE,--,--,9.00%,40.38%,$0.05 ,"$29,620 564,703 FIRE"
CoinMeet,MEET,--,--,3.58%,32.59%,$0.00 ,"$29,500 5,977,760 MEET"
3x Short Tezos Token,XTZBEAR,--,--,21.51%,75.32%,$0.00 ,"$29,117 45,518,863 XTZBEAR"
Tcoin,TCO,0 TCO,--,8.69%,27.95%,$0.00 ,"$29,212 1,641,127,096 TCO"
