name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
ThoreCoin,THR,"86,686 THR","$628.73M $628,734,016",3.11%,20.95%,"$7,253.00 ","$15,049 2 THR"
Symbol,XYM,"5,432,323,845 XYM","$577.86M $577,857,091",20.11%,45.06%,$0.11 ,"$7,186,318 67,557,201 XYM"
NXM,NXM,"6,410,215 NXM","$469.21M $469,211,618",5.89%,26.93%,$73.20 ,"$21,808 298 NXM"
Venus BNB,vBNB,"84,327,095 vBNB","$469.07M $469,066,875",14.62%,27.41%,$5.56 ,--
INO COIN,INO,"180,003,180 INO","$453.92M $453,919,013",2.66%,21.03%,$2.52 ,"$103,955 41,224 INO"
Bitpanda Ecosystem Token,BEST,"394,186,139 BEST","$447.29M $447,294,699",8.46%,13.29%,$1.13 ,"$516,515 455,187 BEST"
botXcoin,BOTX,"1,632,732,305 BOTX","$423.25M $423,249,535",0.68%,0.15%,$0.26 ,"$365,993 1,411,857 BOTX"
Zelwin,ZLW,"70,683,663 ZLW","$422.62M $422,621,282",0.19%,0.01%,$5.98 ,"$337,429 56,435 ZLW"
Mirror Protocol,MIR,"76,979,830 MIR","$372.62M $372,615,963",1.93%,15.41%,$4.84 ,"$146,015,685 30,165,811 MIR"
Orbit Chain,ORC,"465,987,647 ORC","$328.38M $328,376,390",10.05%,32.59%,$0.70 ,"$18,935,357 26,870,515 ORC"
Bitcoin Cash ABC,BCHA,"18,572,921 BCHA","$304.96M $304,956,942",16.20%,22.56%,$16.42 ,"$5,805,000 353,544 BCHA"
HedgeTrade,HEDG,"348,731,468 HEDG","$289.37M $289,365,867",16.52%,35.33%,$0.83 ,"$91,736 110,557 HEDG"
ECOMI,OMI,"166,285,821,196 OMI","$259.91M $259,907,104",8.37%,25.46%,$0.00 ,"$2,374,746 1,519,337,639 OMI"
Hellenic Coin,HNC,"69,910,698 HNC","$255.05M $255,050,396",3.75%,22.57%,$3.65 ,"$261,785 71,757 HNC"
